边 : 卖 0 | 迷 1 | 亮 2 | 屋 3 | 盖 4 | 衣 5 | 举 6 | 昌 7 | 房 8 | 患 9 | 癌 10 | 症 11 | 瓜 12 | 伤 13 | 净 14 | 池 15 | 冒 16 | 伸 17 | 征 18 | 腾 19 | 
ｎ : 聪 0 | 喀 1 | 抒 2 | 绥 3 | 鬼 4 | 冤 5 | 饥 6 | 狼 7 | 屯 8 | 栖 9 | 萎 10 | 跻 11 | 臭 12 | 俯 13 | 嗓 14 | 钉 15 | 糟 16 | 抄 17 | 厌 18 | 杠 19 | 

恨 : 虾 0 | 吓 1 | 晃 2 | 兔 3 | 杠 4 | 扯 5 | 蜜 6 | 抄 7 | 抖 8 | 粪 9 | 稚 10 | 兽 11 | 琢 12 | 桔 13 | 叠 14 | 熬 15 | 哗 16 | 蜂 17 | 裤 18 | 鬼 19 | 

汀 : 耒 0 | 赓 1 | 隽 2 | 脓 3 | 怏 4 | 圪 5 | 靛 6 | 硼 7 | 岷 8 | 卤 9 | → 10 | 坨 11 | 珲 12 | 撷 13 | 妓 14 | 燧 15 | 钒 16 | 耆 17 | 箴 18 | 菩 19 | 

ｘ : 撷 0 | 珲 1 | 狞 2 | 妓 3 | 噜 4 | 浜 5 | 菩 6 | 搐 7 | 莒 8 | 盹 9 | 烬 10 | 邕 11 | 胤 12 | 柩 13 | 俐 14 | ━ 15 | 诋 16 | 畿 17 | 酉 18 | 笪 19 | 

饽 : 窿 0 | 楣 1 | 赓 2 | 耒 3 | 盹 4 | 钎 5 | 隽 6 | 陛 7 | 岷 8 | 蹭 9 | 漱 10 | 耙 11 | 脓 12 | 獭 13 | 硼 14 | 轼 15 | 岫 16 | 觞 17 | 撷 18 | 怏 19 | 

耸 : 厌 0 | 钉 1 | 抒 2 | 抹 3 | 刹 4 | 嗓 5 | 瞒 6 | 绥 7 | 溜 8 | 羞 9 | 肾 10 | 凿 11 | 牟 12 | 冤 13 | 栖 14 | 鬼 15 | 饥 16 | 狼 17 | 俯 18 | 抄 19 | 

兔 : 瑟 0 | 苑 1 | 浊 2 | 劾 3 | 毯 4 | 渣 5 | 淌 6 | 衫 7 | 禹 8 | 楠 9 | 罩 10 | 裹 11 | 雀 12 | 藤 13 | 痪 14 | 佑 15 | 涡 16 | 蓓 17 | 奸 18 | 芒 19 | 

糅 : 釜 0 | 珞 1 | 攥 2 | 笙 3 | 遒 4 | 辫 5 | 撇 6 | 掂 7 | 镍 8 | 鳖 9 | 戛 10 | 掖 11 | 掰 12 | 玷 13 | 箫 14 | 嘶 15 | 锨 16 | 濮 17 | 娑 18 | 粕 19 | 

斩 : 贼 0 | 吵 1 | 惶 2 | 炕 3 | 翘 4 | 弓 5 | 哇 6 | 锄 7 | 贻 8 | 捎 9 | 穹 10 | 猴 11 | 喃 12 | 咋 13 | 殉 14 | 蠢 15 | 氨 16 | 锚 17 | 梧 18 | 捏 19 | 

消 : 恢 0 | 农 1 | 垃 2 | 欢 3 | 专 4 | 遵 5 | 课 6 | 鼓 7 | 禁 8 | 特 9 | 宗 10 | 踊 11 | 柬 12 | 覆 13 | 菲 14 | 防 15 | 阶 16 | 邀 17 | 饲 18 | 文 19 | 

氯 : 翘 0 | 炕 1 | 弓 2 | 捎 3 | 岔 4 | 辗 5 | 仕 6 | 贻 7 | 喃 8 | 氯 9 | 穹 10 | 祠 11 | 挟 12 | 祁 13 | 虞 14 | 岌 15 | 蠢 16 | 屁 17 | 吵 18 | 澎 19 | 

岷 : 赊 0 | 雌 1 | 炫 2 | 殃 3 | 瀛 4 | 姬 5 | 榕 6 | 汩 7 | 抠 8 | 屁 9 | 蝗 10 | 亵 11 | 伶 12 | 喃 13 | 岌 14 | 趴 15 | 祁 16 | 粽 17 | 祠 18 | 囿 19 | 

第 : 连 0 | 时 1 | 减 2 | 回 3 | 此 4 | 亲 5 | 得 6 | 补 7 | 今 8 | 目 9 | 近 10 | 获 11 | 不 12 | 密 13 | 落 14 | 某 15 | 约 16 | 采 17 | 短 18 | 足 19 | 

仗 : 姹 0 | 圄 1 | 鲈 2 | 醚 3 | 匍 4 | 葳 5 | 橇 6 | 恿 7 | 啾 8 | 勰 9 | 躏 10 | 芊 11 | 焖 12 | 诽 13 | 奂 14 | 幛 15 | 孑 16 | 嗔 17 | 苕 18 | 朊 19 | 

村 : 送 0 | 市 1 | 土 2 | 城 3 | 通 4 | 厂 5 | 转 6 | 屋 7 | 兴 8 | 房 9 | 志 10 | 带 11 | 桥 12 | 迷 13 | 患 14 | 庄 15 | 伤 16 | 调 17 | 客 18 | 控 19 | 

华 : 空 0 | 城 1 | 黑 2 | 歌 3 | 牛 4 | 铁 5 | 图 6 | 浩 7 | 土 8 | 朋 9 | 微 10 | 军 11 | 皮 12 | 血 13 | 野 14 | 乌 15 | 灵 16 | 西 17 | 瓦 18 | 甲 19 | 

灾 : 血 0 | 桑 1 | 麦 2 | 房 3 | 舞 4 | 杰 5 | 屋 6 | 客 7 | 牛 8 | 篮 9 | 土 10 | 弹 11 | 盖 12 | 瓦 13 | 衣 14 | 皮 15 | 油 16 | 图 17 | 蒂 18 | 雪 19 | 

促 : 抓 0 | 找 1 | 谁 2 | 此 3 | 你 4 | 既 5 | 曾 6 | 短 7 | 摆 8 | 只 9 | 避 10 | 跟 11 | 该 12 | 促 13 | 尊 14 | 扩 15 | 升 16 | 获 17 | 冬 18 | 诸 19 | 

奇 : 宝 0 | 牛 1 | 杰 2 | 皮 3 | 歌 4 | 桑 5 | 桥 6 | 舞 7 | 灯 8 | 野 9 | 屋 10 | 麦 11 | 庄 12 | 土 13 | 灌 14 | 洛 15 | 图 16 | 浩 17 | 暴 18 | 圣 19 | 

不 : 禁 0 | 阵 1 | 故 2 | 忧 3 | 振 4 | 宽 5 | 涉 6 | 参 7 | 轨 8 | 庄 9 | 赈 10 | 宪 11 | 约 12 | 树 13 | 伟 14 | 课 15 | 农 16 | 慰 17 | 号 18 | 夏 19 | 

伊 : 沙 0 | 热 1 | 铁 2 | 灵 3 | 歌 4 | 死 5 | 戏 6 | 菲 7 | 暴 8 | 亚 9 | 宗 10 | 气 11 | 驾 12 | 甲 13 | 土 14 | 贝 15 | 伟 16 | 邮 17 | 图 18 | 洛 19 | 

被 : 微 0 | 歌 1 | 抵 2 | 穿 3 | 甲 4 | 浩 5 | 勤 6 | 野 7 | 皮 8 | 灵 9 | 滑 10 | 奔 11 | 薄 12 | 土 13 | 混 14 | 翻 15 | 珠 16 | 压 17 | 茶 18 | 图 19 | 

精 : 形 0 | 支 1 | 发 2 | 鼓 3 | 特 4 | 认 5 | 消 6 | 坚 7 | 感 8 | 阶 9 | 各 10 | 赞 11 | 邀 12 | 优 13 | 信 14 | 减 15 | 谈 16 | 专 17 | 欢 18 | 试 19 | 

击 : 邦 0 | 视 1 | 湾 2 | 汛 3 | 赠 4 | 洋 5 | 润 6 | 洁 7 | 径 8 | 蓄 9 | 萄 10 | 束 11 | 煌 12 | 测 13 | 疾 14 | 谊 15 | 刷 16 | 责 17 | 御 18 | 染 19 | 

只 : 找 0 | 曾 1 | 短 2 | 此 3 | 获 4 | 你 5 | 摆 6 | 由 7 | 只 8 | 升 9 | 谁 10 | 求 11 | 跟 12 | 坐 13 | 尊 14 | 冬 15 | 诸 16 | 予 17 | 落 18 | 足 19 | 

审 : 独 0 | 转 1 | 压 2 | 采 3 | 拥 4 | 回 5 | 创 6 | 软 7 | 补 8 | 邀 9 | 减 10 | 某 11 | 目 12 | 扶 13 | 涨 14 | 扩 15 | 借 16 | 青 17 | 截 18 | 带 19 | 

荚 : 卤 0 | 觞 1 | 硼 2 | 稣 3 | 钒 4 | → 5 | 陛 6 | 珲 7 | 盹 8 | 妓 9 | 楣 10 | 撷 11 | 噜 12 | 糅 13 | 菩 14 | 莒 15 | 燧 16 | 荤 17 | 撵 18 | ━ 19 | 

猥 : 漩 0 | 霓 1 | 柑 2 | 镌 3 | 梳 4 | 诠 5 | 掺 6 | 刁 7 | 皱 8 | 扒 9 | 琉 10 | 咆 11 | 泸 12 | 祈 13 | 朔 14 | 梧 15 | 侮 16 | 焉 17 | 恬 18 | 颐 19 | 

萋 : 粕 0 | 愕 1 | 丐 2 | 楞 3 | 阙 4 | 臼 5 | 娑 6 | 懵 7 | 箫 8 | 锨 9 | 笙 10 | 耙 11 | 霆 12 | 珞 13 | 疹 14 | 钎 15 | 掰 16 | 蹭 17 | 掖 18 | 徨 19 | 

琐 : 弓 0 | 殉 1 | 撬 2 | 掷 3 | 壑 4 | 穹 5 | 炕 6 | 溅 7 | 吵 8 | 凰 9 | 匡 10 | 惶 11 | 峭 12 | 佣 13 | 斩 14 | 仕 15 | 虞 16 | 诀 17 | 哮 18 | 贻 19 | 

倜 : 饯 0 | 犟 1 | 鲟 2 | 仟 3 | 辊 4 | 拗 5 | 咣 6 | 戕 7 | 酉 8 | 唏 9 | 笪 10 | 氦 11 | 赅 12 | 矾 13 | 浣 14 | 狈 15 | 亳 16 | 撵 17 | 荥 18 | 逅 19 | 

是 : 于 0 | 要 1 | 得 2 | 胜 3 | 面 4 | 均 5 | 星 6 | 等 7 | 了 8 | 将 9 | 驻 10 | 头 11 | 取 12 | 求 13 | 已 14 | 缩 15 | 落 16 | 志 17 | 是 18 | 叫 19 | 

举 : 通 0 | 市 1 | 土 2 | 带 3 | 税 4 | 身 5 | 客 6 | 大 7 | 留 8 | 亮 9 | 灾 10 | 调 11 | 迷 12 | 房 13 | 胜 14 | 屋 15 | 军 16 | 转 17 | 写 18 | 高 19 | 

苛 : 蝗 0 | 趴 1 | 蛀 2 | 逍 3 | 眩 4 | 瀛 5 | 窦 6 | 唁 7 | 抠 8 | 粽 9 | 泾 10 | 藩 11 | 拄 12 | 臧 13 | 褥 14 | 芸 15 | 亵 16 | 羌 17 | 秭 18 | 钵 19 | 

近 : 转 0 | 补 1 | 回 2 | 某 3 | 落 4 | 密 5 | 获 6 | 时 7 | 升 8 | 目 9 | 减 10 | 青 11 | 写 12 | 带 13 | 采 14 | 短 15 | 扶 16 | 涨 17 | 足 18 | 诸 19 | 

求 : 身 0 | 议 1 | 景 2 | 税 3 | 现 4 | 援 5 | 灾 6 | 留 7 | 付 8 | 购 9 | 程 10 | 出 11 | 疑 12 | 赛 13 | 册 14 | 误 15 | 型 16 | 徒 17 | 架 18 | 耗 19 | 

旖 : 圪 0 | 靛 1 | 怏 2 | 隽 3 | → 4 | 赓 5 | 耆 6 | 坨 7 | 硼 8 | 卤 9 | 箴 10 | 赅 11 | 汴 12 | 妓 13 | 燧 14 | 钒 15 | 脓 16 | 咣 17 | 莒 18 | 撵 19 | 

栩 : 毙 0 | 岌 1 | 瑜 2 | 檀 3 | 炙 4 | 殉 5 | 殃 6 | 亢 7 | 搂 8 | 溅 9 | 榕 10 | 挟 11 | 虞 12 | 喃 13 | 仕 14 | 珑 15 | 姬 16 | 漉 17 | 弓 18 | 酶 19 | 

喃 : 赳 0 | 羹 1 | 胤 2 | 燧 3 | 噜 4 | 妖 5 | 稣 6 | 腆 7 | 盹 8 | 偕 9 | 菩 10 | 陛 11 | 珲 12 | 锏 13 | → 14 | 妓 15 | 狞 16 | 轶 17 | 糯 18 | 睬 19 | 

袄 : 孽 0 | 糠 1 | 糅 2 | 楣 3 | 叽 4 | 峁 5 | 荤 6 | 觞 7 | 椭 8 | 妖 9 | 盹 10 | 岷 11 | 菩 12 | 偕 13 | 戛 14 | 嗅 15 | 噜 16 | 卤 17 | 稣 18 | 辫 19 | 

大 : 胜 0 | 志 1 | 驻 2 | 星 3 | 等 4 | 要 5 | 得 6 | 均 7 | 树 8 | 头 9 | 面 10 | 落 11 | 参 12 | 缩 13 | 路 14 | 庄 15 | 车 16 | 叫 17 | 回 18 | 已 19 | 

诋 : 箴 0 | 靛 1 | 汴 2 | 笪 3 | 仟 4 | 犟 5 | 酉 6 | 怏 7 | 狰 8 | 氦 9 | 隽 10 | 妓 11 | 戕 12 | 坨 13 | 咣 14 | 栀 15 | 耆 16 | 卤 17 | 莒 18 | 畿 19 | 

坦 : 谊 0 | 束 1 | 润 2 | 赠 3 | 视 4 | 煌 5 | 湾 6 | 洁 7 | 汛 8 | 萄 9 | 径 10 | 刷 11 | 洋 12 | 判 13 | 蓄 14 | 帜 15 | 御 16 | 扰 17 | 睛 18 | 染 19 | 

跤 : 瑜 0 | 岌 1 | 仕 2 | 溅 3 | 亢 4 | 弓 5 | 檀 6 | 挟 7 | 祠 8 | 喃 9 | 酶 10 | 坞 11 | 臃 12 | 瀛 13 | 驴 14 | 澎 15 | 醋 16 | 桓 17 | 穹 18 | 痰 19 | 

染 : 煌 0 | 洁 1 | 束 2 | 睛 3 | 谊 4 | 萄 5 | 判 6 | 润 7 | 视 8 | 言 9 | 赠 10 | 慨 11 | 湾 12 | 帜 13 | 汛 14 | 刷 15 | 扰 16 | 径 17 | 式 18 | 御 19 | 

博 : 灵 0 | 甲 1 | 野 2 | 畜 3 | 压 4 | 歌 5 | 塑 6 | 戏 7 | 邮 8 | 汤 9 | 泡 10 | 浩 11 | 庄 12 | 滑 13 | 粗 14 | 驾 15 | 薄 16 | 芬 17 | 皮 18 | 柴 19 | 

藏 : 润 0 | 蓄 1 | 刷 2 | 御 3 | 萄 4 | 洋 5 | 径 6 | 赠 7 | 扰 8 | 洁 9 | 疫 10 | 旱 11 | 旨 12 | 饰 13 | 汛 14 | 佩 15 | 徒 16 | 视 17 | 役 18 | 旋 19 | 

锏 : 晟 0 | 夼 1 | 娲 2 | 纰 3 | 邗 4 | 遛 5 | 祜 6 | 滓 7 | 骁 8 | 麾 9 | 鲲 10 | 茭 11 | 钕 12 | 阉 13 | 晌 14 | 磙 15 | 荚 16 | 橇 17 | 簪 18 | 蕤 19 | 

龉 : 腋 0 | 蹩 1 | 艮 2 | 镉 3 | 鲇 4 | 筠 5 | 阄 6 | 魇 7 | 蟥 8 | 旌 9 | 蜃 10 | 酰 11 | 噎 12 | 瓤 13 | 敕 14 | 椴 15 | 蚤 16 | 沏 17 | 琊 18 | 啜 19 | 

龈 : 酰 0 | 魇 1 | 蚤 2 | 艮 3 | 缳 4 | 慵 5 | 啜 6 | 鏊 7 | 裟 8 | 笞 9 | 蹇 10 | 鼾 11 | 杲 12 | 鹦 13 | 琰 14 | 炀 15 | 鳅 16 | 渌 17 | 饬 18 | 绻 19 | 

贯 : 印 0 | 遗 1 | 信 2 | 农 3 | 消 4 | 恢 5 | 赞 6 | 热 7 | 投 8 | 垃 9 | 锻 10 | 文 11 | 遵 12 | 调 13 | 课 14 | 邮 15 | 宗 16 | 专 17 | 汽 18 | 揭 19 | 

括 : 觉 0 | 言 1 | 绍 2 | 式 3 | 束 4 | 洁 5 | 睛 6 | 入 7 | 息 8 | 障 9 | 势 10 | 判 11 | 望 12 | 萄 13 | 值 14 | 视 15 | 析 16 | 鹏 17 | 慨 18 | 帜 19 | 

彻 : 入 0 | 判 1 | 式 2 | 值 3 | 洁 4 | 视 5 | 势 6 | 言 7 | 束 8 | 汛 9 | 萄 10 | 赠 11 | 险 12 | 睛 13 | 慨 14 | 蓄 15 | 湾 16 | 觉 17 | 御 18 | 息 19 | 

高 : 市 0 | 调 1 | 带 2 | 土 3 | 压 4 | 补 5 | 救 6 | 亮 7 | 写 8 | 税 9 | 树 10 | 软 11 | 庄 12 | 痛 13 | 迷 14 | 现 15 | 谈 16 | 参 17 | 卫 18 | 利 19 | 

现 : 议 0 | 赛 1 | 出 2 | 线 3 | 部 4 | 家 5 | 程 6 | 购 7 | 式 8 | 视 9 | 景 10 | 灾 11 | 判 12 | 型 13 | 现 14 | 门 15 | 蓄 16 | 值 17 | 留 18 | 徒 19 | 

学 : 成 0 | 时 1 | 谈 2 | 支 3 | 目 4 | 各 5 | 市 6 | 调 7 | 创 8 | 之 9 | 回 10 | 特 11 | 救 12 | 采 13 | 软 14 | 课 15 | 约 16 | 感 17 | 语 18 | 减 19 | 

阖 : 鄄 0 | 蕃 1 | 舔 2 | 筵 3 | 谕 4 | 磬 5 | 碣 6 | 鲢 7 | 颍 8 | 浣 9 | 榛 10 | 踉 11 | 湄 12 | 邈 13 | 悯 14 | 靓 15 | 蓿 16 | 嗷 17 | 谤 18 | 骧 19 | 

锃 : 嗷 0 | 邈 1 | 蕃 2 | 纰 3 | 渑 4 | 钕 5 | 遛 6 | 舔 7 | 擘 8 | 阉 9 | 蕤 10 | 鲢 11 | 唉 12 | 嗽 13 | 晟 14 | 筵 15 | 谤 16 | 祜 17 | 晌 18 | 躏 19 | 

仙 : 崭 0 | 侦 1 | 茫 2 | 邯 3 | 陪 4 | 缔 5 | 冶 6 | 勉 7 | 牡 8 | 俺 9 | 鲍 10 | 昔 11 | 羽 12 | 爸 13 | 斡 14 | 仿 15 | 鞠 16 | 嫌 17 | 祈 18 | 帷 19 | 

呦 : 骡 0 | 酚 1 | 酗 2 | 蓦 3 | 糌 4 | 摈 5 | 浜 6 | 泔 7 | 姹 8 | 挛 9 | 噜 10 | 鲈 11 | 圄 12 | 匍 13 | 鲲 14 | 唆 15 | 貂 16 | 茭 17 | 醚 18 | 偬 19 | 

妥 : 迈 0 | 辅 1 | 硬 2 | 描 3 | 闯 4 | 框 5 | 填 6 | 寄 7 | 漂 8 | 暂 9 | 铺 10 | 抛 11 | 陪 12 | 赈 13 | 涨 14 | 凶 15 | 谐 16 | 湘 17 | 挫 18 | 仿 19 | 

铮 : 壑 0 | 坞 1 | 酶 2 | 挟 3 | 虞 4 | 仕 5 | 峭 6 | 秃 7 | 剔 8 | 穹 9 | 拌 10 | 斩 11 | 匡 12 | 澎 13 | 驹 14 | 梓 15 | 蠢 16 | 檀 17 | 炙 18 | 桓 19 | 

垃 : 揭 0 | 压 1 | 锻 2 | 驾 3 | 垃 4 | 邮 5 | 浓 6 | 焦 7 | 甲 8 | 胸 9 | 薄 10 | 粗 11 | 覆 12 | 塑 13 | 戏 14 | 禁 15 | 硬 16 | 湘 17 | 借 18 | 赞 19 | 

襄 : 梳 0 | 皱 1 | 颐 2 | 焉 3 | 凛 4 | 侄 5 | 蚌 6 | 侮 7 | 孵 8 | 琉 9 | 氯 10 | 诠 11 | 蚊 12 | 霓 13 | 镌 14 | 咆 15 | 窘 16 | 摒 17 | 谆 18 | 珀 19 | 

寨 : 盖 0 | 屋 1 | 佩 2 | 桑 3 | 篮 4 | 迷 5 | 旋 6 | 麦 7 | 凤 8 | 炎 9 | 娜 10 | 弟 11 | 杉 12 | 瓜 13 | 梯 14 | 艇 15 | 朴 16 | 溪 17 | 症 18 | 冒 19 | 

嗷 : 洇 0 | 颍 1 | 藁 2 | 踉 3 | 泔 4 | 勐 5 | 怂 6 | 糌 7 | 谤 8 | 茭 9 | 铣 10 | 崮 11 | 榛 12 | 晌 13 | 啾 14 | 骁 15 | 匍 16 | 朊 17 | 葳 18 | 靓 19 | 

恽 : 鄯 0 | 猗 1 | 绂 2 | 胪 3 | 镣 4 | 啭 5 | 蕨 6 | 倭 7 | 佞 8 | 罘 9 | 罟 10 | 嫡 11 | 婕 12 | 薮 13 | 肼 14 | 崂 15 | 阚 16 | 喹 17 | 龉 18 | 塍 19 | 

躅 : 滓 0 | 荚 1 | 簪 2 | 麾 3 | 祜 4 | 纰 5 | 磙 6 | 旌 7 | 蟥 8 | 琊 9 | 夼 10 | 嗽 11 | 躏 12 | 琏 13 | 遛 14 | 钕 15 | 诏 16 | 焖 17 | 阉 18 | 奂 19 | 

拄 : 铱 0 | 锲 1 | 涿 2 | 怦 3 | 镌 4 | 蔼 5 | 蚂 6 | 徜 7 | 篑 8 | 烷 9 | 殚 10 | 菏 11 | 窒 12 | 阖 13 | 呻 14 | 耄 15 | 郅 16 | 绮 17 | 洮 18 | 捺 19 | 

馁 : 羌 0 | 钠 1 | 镍 2 | 芸 3 | 孢 4 | 喋 5 | 亘 6 | 蛀 7 | 窦 8 | 惭 9 | 濮 10 | 逍 11 | 撩 12 | 笃 13 | 嘶 14 | 潼 15 | 臧 16 | 怅 17 | 撮 18 | 燮 19 | 

覆 : 泡 0 | 塑 1 | 柏 2 | 畜 3 | 皇 4 | 桌 5 | 磨 6 | 柴 7 | 灌 8 | 庄 9 | 飘 10 | 闲 11 | 糖 12 | 铺 13 | 野 14 | 狂 15 | 汤 16 | 淡 17 | 肝 18 | 拳 19 | 

净 : 淡 0 | 稀 1 | 柔 2 | 浸 3 | 垂 4 | 募 5 | 烦 6 | 漏 7 | 迷 8 | 暗 9 | 插 10 | 桌 11 | 谱 12 | 闲 13 | 幻 14 | 恒 15 | 码 16 | 酿 17 | 拳 18 | 柴 19 | 

撮 : 呻 0 | 洮 1 | 蹴 2 | 胥 3 | 翌 4 | 猕 5 | 彷 6 | 峥 7 | 跆 8 | 聩 9 | 淇 10 | 藜 11 | 噜 12 | 猥 13 | 俳 14 | 郜 15 | 浜 16 | 愫 17 | ━ 18 | 栀 19 | 

醒 : 叉 0 | 馈 1 | 炳 2 | 袱 3 | 役 4 | 魁 5 | 蕉 6 | 歧 7 | 杼 8 | 巧 9 | 睹 10 | 雯 11 | 疆 12 | 炜 13 | 浒 14 | 邃 15 | 娅 16 | 胞 17 | 潢 18 | 璐 19 | 

麦 : 凤 0 | 屋 1 | 冒 2 | 默 3 | 雪 4 | 雕 5 | 桑 6 | 娜 7 | 漏 8 | 麦 9 | 捕 10 | 朴 11 | 杉 12 | 溪 13 | 姐 14 | 梯 15 | 灯 16 | 稻 17 | 牛 18 | 衣 19 | 

蓄 : 烂 0 | 锡 1 | 冈 2 | 症 3 | 艇 4 | 佩 5 | 泊 6 | 醉 7 | 潭 8 | 徒 9 | 茵 10 | 肤 11 | 踪 12 | 朴 13 | 溪 14 | 菊 15 | 颂 16 | 穴 17 | 虐 18 | 撼 19 | 

拴 : 凳 0 | 泵 1 | 侠 2 | 淌 3 | 兔 4 | 毯 5 | 兽 6 | 阀 7 | 硫 8 | 佑 9 | 卵 10 | 瑰 11 | 奸 12 | 氮 13 | 罩 14 | 诀 15 | 苑 16 | 桔 17 | 姨 18 | 凰 19 | 

漏 : 柴 0 | 肝 1 | 拳 2 | 飘 3 | 糖 4 | 铺 5 | 浸 6 | 帽 7 | 桌 8 | 谱 9 | 狂 10 | 插 11 | 漏 12 | 姐 13 | 仔 14 | 欲 15 | 汤 16 | 柔 17 | 砍 18 | 披 19 | 

敷 : 颐 0 | 皱 1 | 焉 2 | 蚊 3 | 诠 4 | 孵 5 | 窘 6 | 侮 7 | 霓 8 | 蚌 9 | 摒 10 | 镌 11 | 琉 12 | 咆 13 | 擂 14 | 侗 15 | 甬 16 | 苛 17 | 郅 18 | 迢 19 | 

蒂 : 缆 0 | 叉 1 | 玛 2 | 昂 3 | 魁 4 | 炳 5 | 馈 6 | 巧 7 | 涅 8 | 彬 9 | 揽 10 | 啸 11 | 役 12 | 枢 13 | 杼 14 | 躯 15 | 娅 16 | 浒 17 | 潢 18 | 淹 19 | 

茵 : 贱 0 | 茧 1 | 瑜 2 | 坯 3 | 侣 4 | 哉 5 | 撬 6 | 莺 7 | 溅 8 | 坞 9 | 驴 10 | 榴 11 | 亢 12 | 佣 13 | 掷 14 | 衅 15 | 殉 16 | 穹 17 | 哮 18 | 痰 19 | 

哗 : 娅 0 | 拌 1 | 榴 2 | 纂 3 | 迢 4 | 榻 5 | 擂 6 | 驹 7 | 炜 8 | 谆 9 | 璐 10 | 湃 11 | 颐 12 | 潢 13 | 帧 14 | 啸 15 | 凛 16 | 涅 17 | 甬 18 | 邃 19 | 

烫 : 佑 0 | 凰 1 | 涡 2 | 椎 3 | 罩 4 | 诀 5 | 铮 6 | 翩 7 | 毯 8 | 腕 9 | 兽 10 | 岱 11 | 熬 12 | 佣 13 | 氮 14 | 烫 15 | 剔 16 | 麓 17 | 抖 18 | 贱 19 | 

羹 : 汀 0 | 陨 1 | 瑕 2 | 屎 3 | 袄 4 | 芋 5 | 珩 6 | 蛀 7 | 钠 8 | 笃 9 | 崽 10 | 笙 11 | 眩 12 | 鳖 13 | 羌 14 | 掂 15 | 掖 16 | 裳 17 | 孢 18 | 簧 19 | 

投 : 具 0 | 扩 1 | 恢 2 | 遵 3 | 农 4 | 零 5 | 禁 6 | 课 7 | 促 8 | 参 9 | 柬 10 | 认 11 | 采 12 | 宽 13 | 赞 14 | 浓 15 | 赈 16 | 涨 17 | 孤 18 | 邀 19 | 

玷 : 笙 0 | 瑕 1 | 鳖 2 | 遒 3 | 掂 4 | 攥 5 | 镍 6 | 珞 7 | 裘 8 | 掖 9 | 娑 10 | 梵 11 | 惭 12 | 钠 13 | 亘 14 | 喋 15 | 孢 16 | 芋 17 | 羌 18 | 濮 19 | 

焦 : 详 0 | 孤 1 | 仿 2 | 填 3 | 粗 4 | 焦 5 | 寄 6 | 湘 7 | 胸 8 | 描 9 | 浓 10 | 陪 11 | 肩 12 | 钻 13 | 缅 14 | 钓 15 | 隔 16 | 弄 17 | 扭 18 | 崭 19 | 

聂 : 牟 0 | 捏 1 | 羞 2 | 钉 3 | 敷 4 | 瞒 5 | 蜡 6 | 馒 7 | 祈 8 | 懒 9 | 耿 10 | 呐 11 | 俯 12 | 梧 13 | 咋 14 | 扒 15 | 拣 16 | 嗓 17 | 糟 18 | 瞄 19 | 

椭 : 瑕 0 | 鳖 1 | 遒 2 | 眩 3 | 亘 4 | 裘 5 | 撩 6 | 惭 7 | 臧 8 | 梵 9 | 镍 10 | 逍 11 | 掂 12 | 笙 13 | 篝 14 | 喋 15 | 羌 16 | 蛀 17 | 陨 18 | 芋 19 | 

愚 : 俯 0 | 牟 1 | 绚 2 | 羞 3 | 鞍 4 | 肾 5 | 樱 6 | 敷 7 | 玫 8 | 祈 9 | 铝 10 | 朔 11 | 栖 12 | 糟 13 | 嗓 14 | 邵 15 | 蜡 16 | 冤 17 | 钉 18 | 潇 19 | 

窦 : 遒 0 | 镍 1 | 撮 2 | 梵 3 | 掂 4 | 濮 5 | 玷 6 | 嘶 7 | 辫 8 | 惭 9 | 珞 10 | 裘 11 | 攥 12 | 狡 13 | 鳖 14 | 戛 15 | 瑕 16 | 撩 17 | 笙 18 | 羌 19 | 

痫 : 茧 0 | 藉 1 | 贱 2 | 侣 3 | 哮 4 | 溅 5 | 阂 6 | 驴 7 | 哉 8 | 禺 9 | 梓 10 | 衅 11 | 佣 12 | 疤 13 | 瑜 14 | 檀 15 | 穹 16 | 炙 17 | 壑 18 | 坞 19 | 

钊 : 漉 0 | 擎 1 | 薹 2 | 珑 3 | 驹 4 | 狸 5 | 胺 6 | 桓 7 | 崽 8 | 汀 9 | 兀 10 | 嘘 11 | 醋 12 | 毡 13 | 裳 14 | 蛀 15 | 褥 16 | 迩 17 | 囡 18 | 殃 19 | 

盏 : 辗 0 | 恤 1 | 捎 2 | 穹 3 | 弓 4 | 岔 5 | 炕 6 | 贻 7 | 喃 8 | 吵 9 | 倚 10 | 哇 11 | 椰 12 | 蠢 13 | 氯 14 | 撬 15 | 惶 16 | 炫 17 | 舅 18 | 锄 19 | 

宽 : 宪 0 | 哲 1 | 稽 2 | 踊 3 | 覆 4 | 丈 5 | 霍 6 | 芭 7 | 菲 8 | 屏 9 | 圣 10 | 轨 11 | 宗 12 | 盗 13 | 俱 14 | 阵 15 | 魏 16 | 宽 17 | 楷 18 | 廖 19 | 

纲 : 辅 0 | 拘 1 | 仔 2 | 躺 3 | 描 4 | 铺 5 | 拳 6 | 雇 7 | 填 8 | 框 9 | 抛 10 | 谐 11 | 攀 12 | 浸 13 | 插 14 | 夹 15 | 挫 16 | 欲 17 | 嫁 18 | 披 19 | 

